Datum,Warengruppe,Umsatz,Wochentag,Kategorie
2013-07-01,1,148.828353112183,Monday,Brot
2013-07-02,1,159.79375714468,Tuesday,Brot
2013-07-03,1,111.885593514353,Wednesday,Brot
2013-07-04,1,168.864940979931,Thursday,Brot
2013-07-05,1,171.280754117955,Friday,Brot
2013-07-06,1,174.552359998476,Saturday,Brot
2013-07-07,1,92.6377553788373,Sunday,Brot
2013-07-08,1,135.500244042392,Monday,Brot
2013-07-09,1,136.048382778344,Tuesday,Brot
2013-07-10,1,135.132314289581,Wednesday,Brot
2013-07-11,1,138.549392636714,Thursday,Brot
2013-07-12,1,101.447511461298,Friday,Brot
2013-07-13,1,141.233309883732,Saturday,Brot
2013-07-14,1,112.524365708762,Sunday,Brot
2013-07-15,1,161.264677322182,Monday,Brot
2013-07-16,1,116.821358174215,Tuesday,Brot
2013-07-17,1,150.572919592838,Wednesday,Brot
2013-07-18,1,101.90072129658,Thursday,Brot
2013-07-19,1,161.63511518654,Friday,Brot
2013-07-20,1,134.328076682024,Saturday,Brot
2013-07-21,1,66.2887578161955,Sunday,Brot
2013-07-22,1,131.223948997842,Monday,Brot
2013-07-23,1,110.315246796665,Tuesday,Brot
2013-07-24,1,141.891908195545,Wednesday,Brot
2013-07-25,1,167.701216640907,Thursday,Brot
2013-07-26,1,147.272084366206,Friday,Brot
2013-07-27,1,161.403357795112,Saturday,Brot
2013-07-28,1,86.0791432446654,Sunday,Brot
2013-07-29,1,183.564164400591,Monday,Brot
2013-07-30,1,132.111640117897,Tuesday,Brot
2013-07-31,1,144.745431773143,Wednesday,Brot
2013-08-01,1,157.854023011106,Thursday,Brot
2013-08-02,1,117.359342094889,Friday,Brot
2013-08-03,1,186.027178770079,Saturday,Brot
2013-08-04,1,104.708216687715,Sunday,Brot
2013-08-05,1,146.775309890073,Monday,Brot
2013-08-06,1,131.956277381283,Tuesday,Brot
2013-08-07,1,160.593417296116,Wednesday,Brot
2013-08-08,1,153.099424561652,Thursday,Brot
2013-08-09,1,125.620344387906,Friday,Brot
2013-08-10,1,185.177162656408,Saturday,Brot
2013-08-11,1,73.2088330039992,Sunday,Brot
2013-08-12,1,154.504729536697,Monday,Brot
2013-08-13,1,134.064451548102,Tuesday,Brot
2013-08-14,1,156.972510536869,Wednesday,Brot
2013-08-15,1,164.763795399756,Thursday,Brot
2013-08-16,1,147.79799759804,Friday,Brot
2013-08-17,1,221.630418006017,Saturday,Brot
2013-08-18,1,92.489778506026,Sunday,Brot
2013-08-19,1,145.87913275728,Monday,Brot
2013-08-20,1,111.842396126739,Tuesday,Brot
2013-08-21,1,125.336522713024,Wednesday,Brot
2013-08-22,1,132.916428220302,Thursday,Brot
2013-08-23,1,162.958958703106,Friday,Brot
2013-08-24,1,201.543109556297,Saturday,Brot
2013-08-25,1,83.0226725739551,Sunday,Brot
2013-08-26,1,165.829031676714,Monday,Brot
2013-08-27,1,118.473650434102,Tuesday,Brot
2013-08-28,1,108.876991442649,Wednesday,Brot
2013-08-29,1,178.178023803315,Thursday,Brot
2013-08-30,1,133.150828452892,Friday,Brot
2013-08-31,1,130.821314898435,Saturday,Brot
2013-09-01,1,95.9704314892471,Sunday,Brot
2013-09-02,1,138.408723210465,Monday,Brot
2013-09-03,1,138.825618927843,Tuesday,Brot
2013-09-04,1,100.221969526295,Wednesday,Brot
2013-09-05,1,173.658100347255,Thursday,Brot
2013-09-06,1,171.415179710314,Friday,Brot
2013-09-07,1,186.034060963767,Saturday,Brot
2013-09-08,1,88.8925958109828,Sunday,Brot
2013-09-09,1,169.359968504942,Monday,Brot
2013-09-10,1,89.6944536084346,Tuesday,Brot
2013-09-11,1,103.363686559795,Wednesday,Brot
2013-09-12,1,106.474399987548,Thursday,Brot
2013-09-13,1,122.564626199915,Friday,Brot
2013-09-14,1,174.938807466572,Saturday,Brot
2013-09-15,1,55.1960062296304,Sunday,Brot
2013-09-16,1,146.760234890658,Monday,Brot
2013-09-17,1,136.118044538363,Tuesday,Brot
2013-09-18,1,152.255085210606,Wednesday,Brot
2013-09-19,1,148.674992078993,Thursday,Brot
2013-09-20,1,110.159250328825,Friday,Brot
2013-09-21,1,178.263887943827,Saturday,Brot
2013-09-22,1,86.6668973821597,Sunday,Brot
2013-09-23,1,111.128410563554,Monday,Brot
2013-09-24,1,139.64144576808,Tuesday,Brot
2013-09-25,1,117.94119333604,Wednesday,Brot
2013-09-26,1,203.314345156607,Thursday,Brot
2013-09-27,1,135.507291692088,Friday,Brot
2013-09-28,1,134.613756840197,Saturday,Brot
2013-09-29,1,68.6316896995448,Sunday,Brot
2013-09-30,1,156.502435955326,Monday,Brot
2013-10-01,1,123.397540137977,Tuesday,Brot
2013-10-02,1,196.720969158391,Wednesday,Brot
2013-10-03,1,75.2337302417469,Thursday,Brot
2013-10-04,1,156.066122625816,Friday,Brot
2013-10-05,1,152.280762053885,Saturday,Brot
2013-10-06,1,92.4805772695364,Sunday,Brot
2013-10-07,1,124.841544023845,Monday,Brot
2013-10-08,1,96.867100978839,Tuesday,Brot
2013-10-09,1,149.761758936995,Wednesday,Brot
2013-10-10,1,119.300284972145,Thursday,Brot
2013-10-11,1,123.2348187168,Friday,Brot
2013-10-12,1,140.262421715801,Saturday,Brot
2013-10-13,1,42.9967926268111,Sunday,Brot
2013-10-14,1,109.863744271226,Monday,Brot
2013-10-15,1,130.431802598324,Tuesday,Brot
2013-10-16,1,146.070583461057,Wednesday,Brot
2013-10-17,1,89.9411837855476,Thursday,Brot
2013-10-18,1,111.233698203856,Friday,Brot
2013-10-19,1,121.590860465012,Saturday,Brot
2013-10-20,1,70.1419855298474,Sunday,Brot
2013-10-21,1,122.987868193302,Monday,Brot
2013-10-22,1,111.927088663048,Tuesday,Brot
2013-10-23,1,125.816016210178,Wednesday,Brot
2013-10-24,1,123.163406361057,Thursday,Brot
2013-10-25,1,113.661858634409,Friday,Brot
2013-10-26,1,161.678805315967,Saturday,Brot
2013-10-27,1,102.355195816072,Sunday,Brot
2013-10-28,1,129.482192717092,Monday,Brot
2013-10-29,1,112.285893935052,Tuesday,Brot
2013-10-30,1,121.506077008915,Wednesday,Brot
2013-10-31,1,133.723541287582,Thursday,Brot
