Wettercode,Beschreibung,
0,Bewoelkungsentwicklung nicht beobachtet,
1,Bewoelkung aufloesend oder abnehmend,
2,Gleichbleibende Bewoelkung,
3,Zunehmende Bewoelkung,
4,Sicht durch Rauch oder Asche verringert,
5,Trockener Dunst,
6,Verbreiteter Schwebstaub,
7,Staub- oder Sandfegen,
8,Staub- oder Sandwirbel (Staubteufel oder Kleintrombe),
9,Staub- oder Sandsturm in Sichtweite aber nicht an der Station,
10,Feuchter Dunst,
11,Flacher Nebel mit geringer Hoehenausdehnung in Schwaden oder Baenken,
12,Durchgehende flache Nebelschicht mit geringer Hoehenausdehnung,
13,Wetterleuchten sichtbar aber kein Donner hoebar,
14,Niederschlag sichtbar (Fallstreifen),
15,Niederschlag in der Ferne weiter als 5 km,
16,Niederschlag naeher als 5 km,
17,Gewitter mit hoerbarem Donner,
18,Markante Boeen im Gesichtskreis oder an der Station,
19,Tromben (trichterfoermige Wolkenschlaeuche) oder Tornados in der Naehe oder an der Station,
20,Spruehregen oder Schneegriesel hat aufgehoert,
21,Regen hat aufgehoert,
22,Schneefall hat aufgehoert,
23,Schneeregen oder Fall von Eiskoernern hat aufgehoert,
24,Gefrierender Regen hat aufgehoert,
25,Regenschauer hat aufgehoert,
26,Schneeschauer hat aufgehoert,
27,Graupel- oder Hagelschauer hat aufgehoert,
28,Nebel hat sich aufgeloest,
29,Gewitter hat aufgehoert,
30,Leichter oder maessiger Sandsturm,
31,Leichter oder maessiger Sandsturm,
32,Leichter oder maessiger Sandsturm,
33,Starker Sandsturm,
34,Starker Sandsturm,
35,Starker Sandsturm,
36,Leichtes oder maessiges Schneefegen unter Augenhoehe,
37,Starkes Schneefegen unter Augenhoehe,
38,Leichtes oder maessiges Schneetreiben ueber Augenhoehe,
39,Starkes Schneetreiben ueber Augenhoehe,
40,Nebel in einiger Entfernung den Beobachter nicht erreichend,
41,Nebel in Schwaden oder Baenken,
42,Nebel  Himmel ist erkennbar,
43,Nebel Himmel ist nicht erkennbar,
44,Nebel  Himmel ist erkennbar,
45,Nebel Himmel ist nicht erkennbar,
46,Nebel  Himmel ist erkennbar,
47,Nebel Himmel ist nicht erkennbar,
48,Nebel mit Reifbildung  Himmel ist erkennbar,
49,Nebel mit Reifbildung Himmel ist nicht erkennbar,
50,Unterbrochener leichter und nicht gefrierender Spruehregen,
51,Leichter und durchgehender nicht gefrierender Spruehregen,
52,Unterbrochener maessiger nicht gefrierender Spruehregen,
53,Durchgehender maessiger und nicht gefrierender Spruehregen,
54,Unterbrochener starker und nicht gefrierender Spruehregen,
55,Durchgehender starker und nicht gefrierender Spruehregen,
56,Leichter und gefrierender Spruehregen,
57,Maessiger oder starker gefrierender Spruehregen,
58,Leichter Spruehregen mit Regen vermischt,
59,Maessiger oder starker Spruehregen mit Regen vermischt,
60,Unterbrochener leichter nicht gefrierender Regen oder einzelne Regentropfen,
61,Durchgehender leichter und nicht gefrierender Regen,
62,Unterbrochener und maessiger nicht gefrierender Regen,
63,Durchgehender maessiger nicht gefrierender Regen,
64,Unterbrochener starker und nicht gefrierender Regen,
65,Durchgehender starker und nicht gefrierender Regen,
66,Leichter gefrierender Regen,
67,Maessiger oder starker gefrierender Regen,
68,Leichter Schneeregen,
69,Maessiger oder starker Schneeregen,
70,Unterbrochener leichter Schneefall oder einzelne Schneeflocken,
71,Durchgehender leichter Schneefall,
72,Unterbrochener maessiger Schneefall,
73,Durchgehender maessiger Schneefall,
74,Unterbrochener starker Schneefall,
75,Durchgehender starker Schneefall,
76,Eisnadeln (Polarschnee) mit oder ohne Nebel,
77,Schneegrieseln mit oder ohne Nebel,
78,Schneekristalle mit oder ohne Nebel,
79,Eiskoerner (gefrorene Regentropfen),
80,Leichter Regenschauer,
81,Maessiger oder starker Regenschauer,
82,Sehr heftiger Regenschauer,
83,Leichter Schneeregenschauer,
84,Maessiger oder starker Schneeregenschauer,
85,Leichter Schneeschauer,
86,Maessiger oder starker Schneeschauer,
87,Leichter Graupelschauer,
88,Maessiger oder starker Graupelschauer,
89,Leichter Hagelschauer,
90,Maessiger oder starker Hagelschauer,
91,Gewitter in der letzten Stunde leichter Regen zum Beobachtungszeitpunkt,
92,Gewitter in der letzten Stunde maessiger oder starker Regen zum Beobachtungszeitpunkt,
93,Gewitter in der letzten Stunde  leichter Schneefall, Graupel oder Hagel zum Beobachtungszeitpunkt
94,Gewitter in der letzten Stunde  maessiger oder starker Schneefall, Graupel oder Hagel zum Beobachtungszeitpunkt
95,Leichtes oder maessiges Gewitter mit Regen oder Schnee,
96,Leichtes oder maessiges Gewitter mit Graupel oder Hagel,
97,Starkes Gewitter mit Regen oder Schnee,
98,Starkes Gewitter mit Sandsturm,
99,Starkes Gewitter mit Graupel oder Hagel,
